GHO,Indicator,PUBLISHSTATE,PUBLISH STATES,YEAR,Year,REGION,WHO region,COUNTRY,Country,SEX,Sex,Display Value,Numeric Value,Low Value,High Value,Comments
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EMR,Eastern Mediterranean,AFG,Afghanistan,MLE,Male,48,48,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EMR,Eastern Mediterranean,AFG,Afghanistan,FMLE,Female,49,49,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EMR,Eastern Mediterranean,AFG,Afghanistan,BTSX,Both sexes,49,49,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EMR,Eastern Mediterranean,AFG,Afghanistan,MLE,Male,54,54,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EMR,Eastern Mediterranean,AFG,Afghanistan,FMLE,Female,56,56,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EMR,Eastern Mediterranean,AFG,Afghanistan,BTSX,Both sexes,55,55,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,AFG,Afghanistan,MLE,Male,59,59,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,AFG,Afghanistan,FMLE,Female,61,61,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EMR,Eastern Mediterranean,AFG,Afghanistan,BTSX,Both sexes,60,60,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,ALB,Albania,MLE,Male,67,67,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,ALB,Albania,FMLE,Female,71,71,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,ALB,Albania,BTSX,Both sexes,69,69,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,ALB,Albania,MLE,Male,68,68,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,ALB,Albania,FMLE,Female,73,73,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,ALB,Albania,BTSX,Both sexes,71,71,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EUR,Europe,ALB,Albania,MLE,Male,73,73,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EUR,Europe,ALB,Albania,FMLE,Female,75,75,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EUR,Europe,ALB,Albania,BTSX,Both sexes,74,74,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AFR,Africa,DZA,Algeria,MLE,Male,66,66,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AFR,Africa,DZA,Algeria,FMLE,Female,68,68,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AFR,Africa,DZA,Algeria,BTSX,Both sexes,67,67,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AFR,Africa,DZA,Algeria,MLE,Male,68,68,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AFR,Africa,DZA,Algeria,FMLE,Female,71,71,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AFR,Africa,DZA,Algeria,BTSX,Both sexes,70,70,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AFR,Africa,DZA,Algeria,MLE,Male,71,71,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AFR,Africa,DZA,Algeria,FMLE,Female,74,74,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AFR,Africa,DZA,Algeria,BTSX,Both sexes,73,73,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,AND,Andorra,MLE,Male,74,74,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,AND,Andorra,FMLE,Female,81,81,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,AND,Andorra,BTSX,Both sexes,77,77,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,AND,Andorra,MLE,Male,76,76,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,AND,Andorra,FMLE,Female,83,83,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,AND,Andorra,BTSX,Both sexes,80,80,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EUR,Europe,AND,Andorra,MLE,Male,79,79,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EUR,Europe,AND,Andorra,FMLE,Female,85,85,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,EUR,Europe,AND,Andorra,BTSX,Both sexes,82,82,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AFR,Africa,AGO,Angola,MLE,Male,39,39,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AFR,Africa,AGO,Angola,FMLE,Female,43,43,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AFR,Africa,AGO,Angola,BTSX,Both sexes,41,41,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AFR,Africa,AGO,Angola,MLE,Male,44,44,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AFR,Africa,AGO,Angola,FMLE,Female,47,47,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AFR,Africa,AGO,Angola,BTSX,Both sexes,46,46,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AFR,Africa,AGO,Angola,MLE,Male,50,50,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AFR,Africa,AGO,Angola,FMLE,Female,53,53,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2011,2011,AFR,Africa,AGO,Angola,BTSX,Both sexes,51,51,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AMR,Americas,ATG,Antigua and Barbuda,MLE,Male,69,69,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AMR,Americas,ATG,Antigua and Barbuda,FMLE,Female,71,71,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AMR,Americas,ATG,Antigua and Barbuda,BTSX,Both sexes,70,70,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AMR,Americas,ATG,Antigua and Barbuda,MLE,Male,72,72,,,
WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AMR,Americas,ATG,Antigua and Barbuda,FMLE,Female,74,74,,,
